Stock,Date,Close/Last,Volume,Open,High,Low
TSLA,5/13/20,790.96,19065490,820.83,826,763.3
TSLA,5/12/20,809.41,15906910,827,843.29,808
TSLA,5/11/20,811.29,16519600,790.51,824,785
TSLA,5/8/20,819.42,16130090,793.77,824,787.01
TSLA,5/7/20,780.04,11527690,777.21,796.4,772.35
TSLA,5/6/20,782.58,11123230,776.5,789.8,761.11
TSLA,5/5/20,768.21,16991660,789.79,798.92,762.18
TSLA,5/4/20,761.19,19237090,701,762,698
TSLA,5/1/20,701.32,32531810,755,772.77,683.04
TSLA,4/30/20,781.88,28471850,855.19,869.82,763.5
TSLA,4/29/20,800.51,16215980,790.17,803.2,783.16
TSLA,4/28/20,769.12,15221960,795.64,805,756.69
TSLA,4/27/20,798.75,20681440,737.61,799.49,735
TSLA,4/24/20,725.15,13237610,710.81,730.73,698.18
TSLA,4/23/20,705.63,13236700,727.6,734,703.13
TSLA,4/22/20,732.11,14224830,703.98,734,688.71
TSLA,4/21/20,686.72,20209090,730.12,753.33,673.79
TSLA,4/20/20,746.36,14746370,732.7,765.57,712.21
TSLA,4/17/20,753.89,13128230,772.28,774.95,747.66
TSLA,4/16/20,745.21,20657860,716.94,759.45,706.72
TSLA,4/15/20,729.83,23577000,742,753.13,710
TSLA,4/14/20,709.89,30576510,698.97,741.88,692.43
TSLA,4/13/20,650.95,22475420,590.16,652,580.53
TSLA,4/9/20,573,13650000,562.09,575.18,557.11
TSLA,4/8/20,548.84,12656020,554.2,557.21,533.33
TSLA,4/7/20,545.45,17919780,545,565,532.34
TSLA,4/6/20,516.24,14901840,511.2,521,497.96
TSLA,4/3/20,480.01,22562080,509.5,515.49,468.39
TSLA,4/2/20,454.47,19858430,481.03,494.26,446.4
TSLA,4/1/20,481.56,13353180,504,513.95,475.1
TSLA,3/31/20,524,17771490,501.25,542.96,497
TSLA,3/30/20,502.13,11998070,510.26,516.65,491.23
TSLA,3/27/20,514.36,14377410,505,525.8,494.03
TSLA,3/26/20,528.16,17422080,547.39,560,512.25
TSLA,3/25/20,539.25,21222750,545.25,557,511.11
TSLA,3/24/20,505,22895170,477.3,513.69,474
TSLA,3/23/20,434.29,16454550,433.6,442,410.5
TSLA,3/20/20,427.53,28285500,438.2,477,425.79
TSLA,3/19/20,427.64,30195460,374.7,452,358.46
TSLA,3/18/20,361.22,23786160,389,404.86,350.51
TSLA,3/17/20,430.2,23994580,440.01,471.85,396
TSLA,3/16/20,445.07,20489460,469.5,494.87,442.17
TSLA,3/13/20,546.62,22640250,595,607.57,502
TSLA,3/12/20,560.55,18909050,580.89,594.5,546.25
TSLA,3/11/20,634.23,13413590,640.2,653.58,613
TSLA,3/10/20,645.33,15594440,659.43,668,608
TSLA,3/9/20,608,17073740,605.39,663,605
TSLA,3/6/20,703.48,12662920,690,707,684.27
TSLA,3/5/20,724.54,10852660,723.77,745.75,718.07
TSLA,3/4/20,749.5,15048980,763.96,766.52,724.73
TSLA,3/3/20,745.51,25784000,805,806.98,716.11
TSLA,3/2/20,743.62,20194990,711.26,743.69,686.67
TSLA,2/28/20,667.99,24564170,629.7,690.52,611.52
TSLA,2/27/20,679,24277160,730,739.77,669
TSLA,2/26/20,778.8,14153840,782.5,813.31,776.11
TSLA,2/25/20,799.91,17290480,849,856.6,787
TSLA,2/24/20,833.79,15192160,839,863.5,822.2
TSLA,2/21/20,901,14339450,906.98,913.06,880.45
TSLA,2/20/20,899.41,17634890,911.95,912,859.94
TSLA,2/19/20,917.42,25422960,923.5,944.78,901.02
TSLA,2/18/20,858.4,16698370,841.6,860,832.36
TSLA,2/14/20,800.03,15693710,787.22,812.97,785.5
TSLA,2/13/20,804,26289350,741.84,818,735
TSLA,2/12/20,767.29,12022470,777.87,789.75,763.37
TSLA,2/11/20,774.38,11697470,768.79,783.51,758
TSLA,2/10/20,771.28,24689160,800,819.99,752.4
TSLA,2/7/20,748.07,17063520,730.55,769.75,730
TSLA,2/6/20,748.96,39880750,699.92,795.83,687
TSLA,2/5/20,734.7,48423840,823.26,845.98,704.11
TSLA,2/4/20,887.06,60938760,882.96,968.99,833.88
TSLA,2/3/20,780,47233500,673.69,786.14,673.52
TSLA,1/31/20,650.57,15719270,640,653,632.52
TSLA,1/30/20,640.81,29005680,632.42,650.88,618
TSLA,1/29/20,580.99,18216670,575.69,589.8,567.43
TSLA,1/28/20,566.9,11788490,568.49,576.81,558.08
TSLA,1/27/20,558.02,13608070,541.99,564.44,539.28
TSLA,1/24/20,564.82,14353600,570.63,573.86,554.26
TSLA,1/23/20,572.2,19651040,564.25,582,555.6
TSLA,1/22/20,569.56,31369030,571.89,594.5,559.1
TSLA,1/21/20,547.2,17803470,530.25,548.58,528.41
TSLA,1/17/20,510.5,13629070,507.61,515.67,503.16
TSLA,1/16/20,513.49,21736650,493.75,514.46,492.17
TSLA,1/15/20,518.5,17368830,529.76,537.84,516.79
TSLA,1/14/20,537.92,29061380,544.26,547.41,524.9
TSLA,1/13/20,524.86,26634550,493.5,525.63,492
TSLA,1/10/20,478.15,12976830,481.79,484.94,473.7
TSLA,1/9/20,481.34,28463190,497.1,498.8,472.87
TSLA,1/8/20,492.14,31199390,473.7,498.49,468.23
TSLA,1/7/20,469.06,18209140,461.4,471.63,453.36
TSLA,1/6/20,451.54,10157500,440.47,451.56,440
TSLA,1/3/20,443.01,17794700,440.5,454,436.92
TSLA,1/2/20,430.26,9558386,424.5,430.7,421.71
APPL,7/30/20,384.76,39532510,376.75,385.19,375.07
APPL,7/29/20,380.16,22582310,375,380.92,374.85
APPL,7/28/20,373.01,25906380,377.47,378.2,372.99
APPL,7/27/20,379.24,30303550,374.84,379.62,373.92
APPL,7/24/20,370.46,46359720,363.95,371.88,356.58
APPL,7/23/20,371.38,49251110,387.99,388.31,368.04
APPL,7/22/20,389.09,22250410,386.77,391.9,386.41
APPL,7/21/20,388,25911460,396.69,397,386.97
APPL,7/20/20,393.43,22579480,385.67,394,384.25
APPL,7/17/20,385.31,23046730,387.95,388.59,383.36
APPL,7/16/20,386.09,27644420,386.25,389.62,383.62
APPL,7/15/20,390.9,38299480,395.96,396.99,385.96
APPL,7/14/20,388.23,42747340,379.36,389.02,375.51
APPL,7/13/20,381.91,47912290,389.06,399.82,381.03
APPL,7/10/20,383.68,22564330,381.34,383.92,378.82
APPL,7/9/20,382.73,31410650,385.05,385.27,378.69
APPL,7/8/20,381.37,29272970,376.72,381.5,376.36
APPL,7/7/20,372.69,28106110,375.41,378.62,372.23
APPL,7/6/20,373.85,29663910,370,375.78,369.87
APPL,7/2/20,364.11,28510370,367.85,370.47,363.64
APPL,7/1/20,364.11,27684310,365.12,367.36,363.91
APPL,6/30/20,364.8,35055820,360.08,365.98,360
APPL,6/29/20,361.78,32661520,353.25,362.17,351.28
APPL,6/26/20,353.63,51314210,364.41,365.32,353.02
APPL,6/25/20,364.84,34380630,360.7,365,357.57
APPL,6/24/20,360.06,48155850,365,368.79,358.52
APPL,6/23/20,366.53,53038870,364,372.38,362.27
APPL,6/22/20,358.87,33861320,351.34,359.46,351.15
APPL,6/19/20,349.72,66118950,354.64,356.56,345.15
APPL,6/18/20,351.73,24205100,351.41,353.45,349.22
APPL,6/17/20,351.59,28601630,355.15,355.4,351.09
APPL,6/16/20,352.08,41357180,351.46,353.2,344.72
APPL,6/15/20,342.99,34702230,333.25,345.68,332.58
APPL,6/12/20,338.8,50036510,344.72,347.8,334.22
APPL,6/11/20,335.9,50415610,349.31,351.06,335.48
APPL,6/10/20,352.84,41662940,347.9,354.77,346.09
APPL,6/9/20,343.99,36928090,332.14,345.61,332.01
APPL,6/8/20,333.46,23913630,330.25,333.6,327.32
APPL,6/5/20,331.5,34312550,323.35,331.75,323.23
APPL,6/4/20,322.32,21890090,324.39,325.62,320.78
APPL,6/3/20,325.12,26122800,324.66,326.2,322.3
APPL,6/2/20,323.34,21910700,320.75,323.44,318.93
APPL,6/1/20,321.85,20254650,317.75,322.35,317.21
APPL,5/29/20,317.94,38399530,319.25,321.15,316.47
APPL,5/28/20,318.25,33449100,316.77,323.44,315.63
APPL,5/27/20,318.11,28236270,316.14,318.71,313.09
APPL,5/26/20,316.73,31380450,323.5,324.24,316.5
APPL,5/22/20,318.89,20450750,315.77,319.23,315.35
APPL,5/21/20,316.85,25672210,318.66,320.89,315.87
APPL,5/20/20,319.23,27876220,316.68,319.52,316.2
APPL,5/19/20,313.14,25432390,315.03,318.52,313.01
APPL,5/18/20,314.96,33843130,313.17,316.5,310.32
APPL,5/15/20,307.71,41587090,300.35,307.9,300.21
APPL,5/14/20,309.54,39732270,304.51,309.79,301.53
APPL,5/13/20,307.65,50155640,312.15,315.95,303.21
APPL,5/12/20,311.41,40575260,317.83,319.69,310.91
APPL,5/11/20,315.01,36486560,308.1,317.05,307.24
APPL,5/8/20,310.13,33511990,305.64,310.35,304.29
APPL,5/7/20,303.74,28803760,303.22,305.17,301.97
APPL,5/6/20,300.63,35583440,300.46,303.24,298.87
APPL,5/5/20,297.56,36937800,295.06,301,294.46
APPL,5/4/20,293.16,33391990,289.17,293.69,286.32
APPL,5/1/20,289.07,60154180,286.25,299,285.85
APPL,4/30/20,293.8,45765970,289.96,294.53,288.35
APPL,4/29/20,287.73,34320200,284.73,289.67,283.89
APPL,4/28/20,278.58,28001190,285.08,285.83,278.2
APPL,4/27/20,283.17,29271890,281.8,284.54,279.95
APPL,4/24/20,282.97,31627180,277.2,283.01,277
APPL,4/23/20,275.03,31203580,275.87,281.75,274.87
APPL,4/22/20,276.1,29264340,273.61,277.9,272.2
APPL,4/21/20,268.37,45247890,276.28,277.25,265.43
APPL,4/20/20,276.93,32503750,277.95,281.68,276.85
APPL,4/17/20,282.8,53812480,284.69,286.95,276.86
APPL,4/16/20,286.69,39281290,287.38,288.2,282.35
APPL,4/15/20,284.43,32788640,282.4,286.33,280.63
APPL,4/14/20,287.05,48748670,280,288.25,278.05
APPL,4/13/20,273.25,32755730,268.31,273.7,265.83
APPL,4/9/20,267.99,40529120,268.7,270.07,264.7
APPL,4/8/20,266.07,42223820,262.74,267.37,261.23
APPL,4/7/20,259.43,50721830,270.8,271.7,259
APPL,4/6/20,262.47,50455070,250.9,263.11,249.38
APPL,4/3/20,241.41,32470020,242.8,245.7,238.97
APPL,4/2/20,244.93,41483490,240.34,245.15,236.9
APPL,4/1/20,240.91,44054640,246.5,248.72,239.13
APPL,3/31/20,254.29,49250500,255.6,262.49,252
APPL,3/30/20,254.81,41994110,250.74,255.52,249.4
APPL,3/27/20,247.74,51054150,252.75,255.87,247.05
APPL,3/26/20,258.44,63140170,246.52,258.68,246.36
APPL,3/25/20,245.52,75900510,250.75,258.25,244.3
APPL,3/24/20,246.88,71882770,236.36,247.69,234.3
APPL,3/23/20,224.37,84188210,228.08,228.5,212.61
APPL,3/20/20,229.24,100423300,247.18,251.83,228
APPL,3/19/20,244.78,67964260,247.39,252.84,242.61
APPL,3/18/20,246.67,75058410,239.77,250,237.12
APPL,3/17/20,252.86,81013970,247.51,257.61,238.4
APPL,3/16/20,242.21,80605870,241.95,259.08,240
APPL,3/13/20,277.97,92683030,264.89,279.92,252.95
APPL,3/12/20,248.23,104618500,255.94,270,248
APPL,3/11/20,275.43,64094970,277.39,281.22,271.86
APPL,3/10/20,285.34,71322520,277.14,286.44,269.37
APPL,3/9/20,266.17,71686210,263.75,278.09,263
APPL,3/6/20,289.03,56544250,282,290.82,281.23
APPL,3/5/20,292.92,46893220,295.52,299.55,291.41
APPL,3/4/20,302.74,54794570,296.44,303.4,293.13
APPL,3/3/20,289.32,79868850,303.67,304,285.8
APPL,3/2/20,298.81,85349340,282.28,301.44,277.72
APPL,2/28/20,273.36,106721200,257.26,278.41,256.37
APPL,2/27/20,273.52,80151380,281.1,286,272.96
APPL,2/26/20,292.65,49678430,286.53,297.88,286.5
APPL,2/25/20,288.08,57668360,300.95,302.53,286.13
APPL,2/24/20,298.18,55548830,297.26,304.18,289.23
APPL,2/21/20,313.05,32426420,318.62,320.45,310.5
APPL,2/20/20,320.3,25141490,322.63,324.65,318.21
APPL,2/19/20,323.62,23495990,320,324.57,320
APPL,2/18/20,319,38190550,315.36,319.75,314.61
APPL,2/14/20,324.95,20028450,324.74,325.98,322.85
APPL,2/13/20,324.87,23686890,324.19,326.22,323.35
APPL,2/12/20,327.2,28432570,321.47,327.22,321.47
APPL,2/11/20,319.61,23580780,323.6,323.9,318.71
APPL,2/10/20,321.55,27337220,314.18,321.55,313.85
APPL,2/7/20,320.03,29421010,322.37,323.4,318
APPL,2/6/20,325.21,26356390,322.57,325.22,320.26
APPL,2/5/20,321.45,29706720,323.52,324.76,318.95
APPL,2/4/20,318.85,34154130,315.31,319.64,313.63
APPL,2/3/20,308.66,43496400,304.3,313.49,302.22
APPL,1/31/20,309.51,49897100,320.93,322.68,308.29
APPL,1/30/20,323.87,31685810,320.54,324.09,318.75
APPL,1/29/20,324.34,54149930,324.45,327.85,321.38
APPL,1/28/20,317.69,40558490,312.6,318.4,312.19
APPL,1/27/20,308.95,40485010,310.06,311.77,304.88
APPL,1/24/20,318.31,36634380,320.25,323.33,317.52
APPL,1/23/20,319.23,26117990,317.92,319.56,315.65
APPL,1/22/20,317.7,25458120,318.58,319.99,317.31
APPL,1/21/20,316.57,27710810,317.19,319.02,316
APPL,1/17/20,318.73,34454120,316.27,318.74,315
APPL,1/16/20,315.24,27207250,313.59,315.7,312.09
APPL,1/15/20,311.34,30480880,311.85,315.5,309.55
APPL,1/14/20,312.68,40653460,316.7,317.57,312.17
APPL,1/13/20,316.96,30521720,311.64,317.07,311.15
APPL,1/10/20,310.33,35217270,310.6,312.67,308.25
APPL,1/9/20,309.63,42621540,307.24,310.43,306.2
APPL,1/8/20,303.19,33090950,297.16,304.44,297.16
APPL,1/7/20,298.39,27877660,299.84,300.9,297.48
APPL,1/6/20,299.8,29644640,293.79,299.96,292.75
APPL,1/3/20,297.43,36633880,297.15,300.58,296.5
APPL,1/2/20,300.35,33911860,296.24,300.6,295.19
SBUX,7/30/20,76.64,7889831,76.63,76.98,75.4
SBUX,7/29/20,77.42,15261050,77.56,78.49,76.9
SBUX,7/28/20,74.64,12273410,76.3,76.39,74.56
SBUX,7/27/20,76.46,6771141,75.89,76.71,75.54
SBUX,7/24/20,75.78,5673370,75.28,76,75.11
SBUX,7/23/20,75.36,7795081,76.88,77.07,74.9
SBUX,7/22/20,77.24,9213149,75.52,77.33,75.12
SBUX,7/21/20,75.44,10639750,75.78,76.8,75.27
SBUX,7/20/20,74.96,8832692,74.16,75.22,73.63
SBUX,7/17/20,74.16,6087543,74.43,74.55,73.21
SBUX,7/16/20,74.39,6649692,74.9,75.14,73.68
SBUX,7/15/20,75.61,10300710,74.46,75.81,73.96
SBUX,7/14/20,72.73,8780867,72,72.97,71.82
SBUX,7/13/20,72.65,9464541,74.56,74.84,72.49
SBUX,7/10/20,74.29,7524157,73,74.56,72.74
SBUX,7/9/20,73.57,9618209,73.73,74.22,71.93
SBUX,7/8/20,74.14,7346243,74.07,74.5,73.33
SBUX,7/7/20,74.25,7515103,75.13,75.23,74
SBUX,7/6/20,75.44,7235277,74.93,75.48,74.16
SBUX,7/2/20,73.78,6544351,75.04,75.09,73.64
SBUX,7/1/20,74.03,6749978,74,74.69,73.38
SBUX,6/30/20,73.59,11323990,73.58,73.88,72.81
